marka,model,raw_real_count,train_real_count,unique_year_count,min_year,max_year,min_km,median_km,max_km,min_price,median_price,max_price,price_cv,price_age_corr,current_hp_support,current_hp_source,current_hp_method,source_distribution,arabam_count,kaggle_count,in_ui_catalog,synthetic_candidate,priority,recommended_synthetic_count,reason,synthetic_safe,safety_reason,interpolation_year_range,interpolation_km_range,interpolation_price_range
Honda,FR-V,1,1,1,2008.0,2008.0,250000.0,250000.0,250000.0,740000.0,740000.0,740000.0,0.0,,1,brand_model,median,arabam=1,1,0,True,True,CRITICAL,1,"1 gercek egitim kaydi (ham: 1). hierarchical_price destegi dusuk (n=1); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir). azaltici: cok eski model (max_year=2008), piyasada nadir - dusuk oncelik.",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 2 idi)",2008-2008,"250,000-250,000","740,000-740,000"
Honda,Stream,1,1,1,2001.0,2001.0,395000.0,395000.0,395000.0,519000.0,519000.0,519000.0,0.0,,1,brand_model,median,arabam=1,1,0,True,True,CRITICAL,1,"1 gercek egitim kaydi (ham: 1). hierarchical_price destegi dusuk (n=1); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir). azaltici: cok eski model (max_year=2001), piyasada nadir - dusuk oncelik.",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 2 idi)",2001-2001,"395,000-395,000","519,000-519,000"
Hyundai,Galloper,1,1,1,1999.0,1999.0,303000.0,303000.0,303000.0,745000.0,745000.0,745000.0,0.0,,1,brand_model,median,arabam=1,1,0,True,True,CRITICAL,1,"1 gercek egitim kaydi (ham: 1). hierarchical_price destegi dusuk (n=1); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir). azaltici: cok eski model (max_year=1999), piyasada nadir - dusuk oncelik.",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 2 idi)",1999-1999,"303,000-303,000","745,000-745,000"
Hyundai,Trajet,1,1,1,2001.0,2001.0,350000.0,350000.0,350000.0,379000.0,379000.0,379000.0,0.0,,1,brand_model,median,arabam=1,1,0,True,True,CRITICAL,1,"1 gercek egitim kaydi (ham: 1). hierarchical_price destegi dusuk (n=1); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir). azaltici: cok eski model (max_year=2001), piyasada nadir - dusuk oncelik.",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 2 idi)",2001-2001,"350,000-350,000","379,000-379,000"
Hyundai,ix55,1,1,1,2010.0,2010.0,335000.0,335000.0,335000.0,1180000.0,1180000.0,1180000.0,0.0,,1,brand_model,median,arabam=1,1,0,True,True,CRITICAL,1,"1 gercek egitim kaydi (ham: 1). hierarchical_price destegi dusuk (n=1); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir). azaltici: cok eski model (max_year=2010), piyasada nadir - dusuk oncelik.",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 2 idi)",2010-2010,"335,000-335,000","1,180,000-1,180,000"
Isuzu,Gemini,1,1,1,1993.0,1993.0,258000.0,258000.0,258000.0,245000.0,245000.0,245000.0,0.0,,1,brand_model,median,kaggle=1,0,1,True,True,CRITICAL,1,"1 gercek egitim kaydi (ham: 1). hierarchical_price destegi dusuk (n=1); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir). azaltici: cok eski model (max_year=1993), piyasada nadir - dusuk oncelik; dusuk fiyat etkisi (medyan 245,000 <= p25 esigi 320,000).",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 2 idi)",1993-1993,"258,000-258,000","245,000-245,000"
Isuzu,Trooper,1,1,1,1993.0,1993.0,409000.0,409000.0,409000.0,280000.0,280000.0,280000.0,0.0,,1,brand_model,median,arabam=1,1,0,True,True,CRITICAL,1,"1 gercek egitim kaydi (ham: 1). hierarchical_price destegi dusuk (n=1); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir). azaltici: cok eski model (max_year=1993), piyasada nadir - dusuk oncelik; dusuk fiyat etkisi (medyan 280,000 <= p25 esigi 320,000).",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 2 idi)",1993-1993,"409,000-409,000","280,000-280,000"
Işıldar Apachi,Kent,1,1,1,2014.0,2014.0,10000.0,10000.0,10000.0,28000.0,28000.0,28000.0,0.0,,1,brand_model,median,arabam=1,1,0,True,True,CRITICAL,1,"1 gercek egitim kaydi (ham: 1). hierarchical_price destegi dusuk (n=1); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir). azaltici: dusuk fiyat etkisi (medyan 28,000 <= p25 esigi 320,000).",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 2 idi)",2014-2014,"10,000-10,000","28,000-28,000"
Jaguar,F-Type,2,1,1,2018.0,2018.0,42000.0,42000.0,42000.0,4890000.0,4890000.0,4890000.0,0.0,,1,brand_model,median,kaggle=2,0,2,True,True,CRITICAL,3,"1 gercek egitim kaydi (ham: 2). premium fiyat segmenti (medyan 4,890,000 >= p90 esigi 3,375,000); hierarchical_price destegi dusuk (n=1); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir).",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 6 idi)",2018-2018,"42,000-42,000","4,890,000-4,890,000"
Jaguar,XJS,1,1,1,1988.0,1988.0,500000.0,500000.0,500000.0,700000.0,700000.0,700000.0,0.0,,1,brand_model,median,kaggle=1,0,1,True,True,CRITICAL,1,"1 gercek egitim kaydi (ham: 1). hierarchical_price destegi dusuk (n=1); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir). azaltici: cok eski model (max_year=1988), piyasada nadir - dusuk oncelik.",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 2 idi)",1988-1988,"500,000-500,000","700,000-700,000"
Jeep,CJ,1,1,1,1964.0,1964.0,12500.0,12500.0,12500.0,595000.0,595000.0,595000.0,0.0,,1,brand_model,median,arabam=1,1,0,True,True,CRITICAL,1,"1 gercek egitim kaydi (ham: 1). hierarchical_price destegi dusuk (n=1); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir). azaltici: cok eski model (max_year=1964), piyasada nadir - dusuk oncelik.",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 2 idi)",1964-1964,"12,500-12,500","595,000-595,000"
Jeep,Commander,1,1,1,2007.0,2007.0,305000.0,305000.0,305000.0,1495000.0,1495000.0,1495000.0,0.0,,1,brand_model,median,arabam=1,1,0,True,True,CRITICAL,1,"1 gercek egitim kaydi (ham: 1). hierarchical_price destegi dusuk (n=1); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir). azaltici: cok eski model (max_year=2007), piyasada nadir - dusuk oncelik.",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 2 idi)",2007-2007,"305,000-305,000","1,495,000-1,495,000"
Jeep,Liberty,1,1,1,2002.0,2002.0,256000.0,256000.0,256000.0,510000.0,510000.0,510000.0,0.0,,1,brand_model,median,arabam=1,1,0,True,True,CRITICAL,1,"1 gercek egitim kaydi (ham: 1). hierarchical_price destegi dusuk (n=1); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir). azaltici: cok eski model (max_year=2002), piyasada nadir - dusuk oncelik.",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 2 idi)",2002-2002,"256,000-256,000","510,000-510,000"
Kia,Clarus,1,1,1,1998.0,1998.0,150200.0,150200.0,150200.0,249000.0,249000.0,249000.0,0.0,,1,brand_model,median,kaggle=1,0,1,True,True,CRITICAL,1,"1 gercek egitim kaydi (ham: 1). hierarchical_price destegi dusuk (n=1); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir). azaltici: cok eski model (max_year=1998), piyasada nadir - dusuk oncelik; dusuk fiyat etkisi (medyan 249,000 <= p25 esigi 320,000).",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 2 idi)",1998-1998,"150,200-150,200","249,000-249,000"
Kia,Opirus,1,1,1,2005.0,2005.0,170000.0,170000.0,170000.0,550000.0,550000.0,550000.0,0.0,,1,brand_model,median,kaggle=1,0,1,True,True,CRITICAL,1,"1 gercek egitim kaydi (ham: 1). hierarchical_price destegi dusuk (n=1); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir). azaltici: cok eski model (max_year=2005), piyasada nadir - dusuk oncelik.",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 2 idi)",2005-2005,"170,000-170,000","550,000-550,000"
Kia,Pregio,1,1,1,2000.0,2000.0,350000.0,350000.0,350000.0,220000.0,220000.0,220000.0,0.0,,1,brand_model,median,arabam=1,1,0,True,True,CRITICAL,1,"1 gercek egitim kaydi (ham: 1). hierarchical_price destegi dusuk (n=1); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir). azaltici: cok eski model (max_year=2000), piyasada nadir - dusuk oncelik; dusuk fiyat etkisi (medyan 220,000 <= p25 esigi 320,000).",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 2 idi)",2000-2000,"350,000-350,000","220,000-220,000"
Kia,Stinger,1,1,1,2019.0,2019.0,72500.0,72500.0,72500.0,2625000.0,2625000.0,2625000.0,0.0,,1,brand_model,median,kaggle=1,0,1,True,True,CRITICAL,3,1 gercek egitim kaydi (ham: 1). hierarchical_price destegi dusuk (n=1); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir).,False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 6 idi)",2019-2019,"72,500-72,500","2,625,000-2,625,000"
Kimmi,Maxi Porter,1,1,1,2025.0,2025.0,0.0,0.0,0.0,90000.0,90000.0,90000.0,0.0,,1,brand_model,median,arabam=1,1,0,True,True,CRITICAL,1,"1 gercek egitim kaydi (ham: 1). hierarchical_price destegi dusuk (n=1); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir). azaltici: dusuk fiyat etkisi (medyan 90,000 <= p25 esigi 320,000).",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 2 idi)",2025-2025,0-0,"90,000-90,000"
Kimmi,Maxi Truck 1500,2,1,1,2026.0,2026.0,0.0,0.0,0.0,127000.0,127000.0,127000.0,0.0,,1,brand_model,median,arabam=2,2,0,True,True,CRITICAL,1,"1 gercek egitim kaydi (ham: 2). hierarchical_price destegi dusuk (n=1); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir). azaltici: dusuk fiyat etkisi (medyan 127,000 <= p25 esigi 320,000).",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 2 idi)",2026-2026,0-0,"127,000-127,000"
Kuba,Didi,1,1,1,2026.0,2026.0,0.0,0.0,0.0,138600.0,138600.0,138600.0,0.0,,1,brand_model,median,arabam=1,1,0,True,True,CRITICAL,1,"1 gercek egitim kaydi (ham: 1). hierarchical_price destegi dusuk (n=1); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir). azaltici: dusuk fiyat etkisi (medyan 138,600 <= p25 esigi 320,000).",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 2 idi)",2026-2026,0-0,"138,600-138,600"
Kuba,E-Pickup,1,1,1,2025.0,2025.0,35.0,35.0,35.0,50000.0,50000.0,50000.0,0.0,,1,brand_model,median,arabam=1,1,0,True,True,CRITICAL,1,"1 gercek egitim kaydi (ham: 1). hierarchical_price destegi dusuk (n=1); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir). azaltici: dusuk fiyat etkisi (medyan 50,000 <= p25 esigi 320,000).",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 2 idi)",2025-2025,35-35,"50,000-50,000"
Kuba,Eco Rider,1,1,1,2024.0,2024.0,6001.0,6001.0,6001.0,60000.0,60000.0,60000.0,0.0,,1,brand_model,median,arabam=1,1,0,True,True,CRITICAL,1,"1 gercek egitim kaydi (ham: 1). hierarchical_price destegi dusuk (n=1); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir). azaltici: dusuk fiyat etkisi (medyan 60,000 <= p25 esigi 320,000).",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 2 idi)",2024-2024,"6,001-6,001","60,000-60,000"
Lamborghini,Aventador,1,1,1,2013.0,2013.0,31000.0,31000.0,31000.0,46500000.0,46500000.0,46500000.0,0.0,,1,brand_model,median,arabam=1,1,0,True,True,CRITICAL,3,"1 gercek egitim kaydi (ham: 1). premium fiyat segmenti (medyan 46,500,000 >= p90 esigi 3,375,000); hierarchical_price destegi dusuk (n=1); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir).",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 6 idi)",2013-2013,"31,000-31,000","46,500,000-46,500,000"
Lancia,Phedra,1,1,1,2006.0,2006.0,326500.0,326500.0,326500.0,499000.0,499000.0,499000.0,0.0,,1,brand_model,median,arabam=1,1,0,True,True,CRITICAL,1,"1 gercek egitim kaydi (ham: 1). hierarchical_price destegi dusuk (n=1); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir). azaltici: cok eski model (max_year=2006), piyasada nadir - dusuk oncelik.",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 2 idi)",2006-2006,"326,500-326,500","499,000-499,000"
Lexus,CT,1,1,1,2017.0,2017.0,172500.0,172500.0,172500.0,1425000.0,1425000.0,1425000.0,0.0,,1,brand_model,median,arabam=1,1,0,True,True,CRITICAL,3,1 gercek egitim kaydi (ham: 1). hierarchical_price destegi dusuk (n=1); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir).,False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 6 idi)",2017-2017,"172,500-172,500","1,425,000-1,425,000"
Lexus,LM,1,1,1,2023.0,2023.0,38960.0,38960.0,38960.0,18250000.0,18250000.0,18250000.0,0.0,,1,brand_model,median,arabam=1,1,0,True,True,CRITICAL,3,"1 gercek egitim kaydi (ham: 1). premium fiyat segmenti (medyan 18,250,000 >= p90 esigi 3,375,000); hierarchical_price destegi dusuk (n=1); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir).",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 6 idi)",2023-2023,"38,960-38,960","18,250,000-18,250,000"
Lexus,LX,2,1,1,2026.0,2026.0,0.0,0.0,0.0,35500000.0,35500000.0,35500000.0,0.0,,1,brand_model,median,arabam=2,2,0,True,True,CRITICAL,3,"1 gercek egitim kaydi (ham: 2). premium fiyat segmenti (medyan 35,500,000 >= p90 esigi 3,375,000); hierarchical_price destegi dusuk (n=1); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir).",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 6 idi)",2026-2026,0-0,"35,500,000-35,500,000"
Lincoln,Mark,1,1,1,1988.0,1988.0,130000.0,130000.0,130000.0,700000.0,700000.0,700000.0,0.0,,1,brand_model,median,arabam=1,1,0,True,True,CRITICAL,1,"1 gercek egitim kaydi (ham: 1). hierarchical_price destegi dusuk (n=1); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir). azaltici: cok eski model (max_year=1988), piyasada nadir - dusuk oncelik.",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 2 idi)",1988-1988,"130,000-130,000","700,000-700,000"
Luyuan,Inno9 Lite,1,1,1,2023.0,2023.0,6100.0,6100.0,6100.0,37500.0,37500.0,37500.0,0.0,,1,brand_model,median,arabam=1,1,0,True,True,CRITICAL,1,"1 gercek egitim kaydi (ham: 1). hierarchical_price destegi dusuk (n=1); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir). azaltici: dusuk fiyat etkisi (medyan 37,500 <= p25 esigi 320,000).",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 2 idi)",2023-2023,"6,100-6,100","37,500-37,500"
MG,F,1,1,1,2000.0,2000.0,87000.0,87000.0,87000.0,500000.0,500000.0,500000.0,0.0,,1,brand_model,median,kaggle=1,0,1,True,True,CRITICAL,1,"1 gercek egitim kaydi (ham: 1). hierarchical_price destegi dusuk (n=1); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir). azaltici: cok eski model (max_year=2000), piyasada nadir - dusuk oncelik.",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 2 idi)",2000-2000,"87,000-87,000","500,000-500,000"
Maserati,4 Serisi,1,1,1,1994.0,1994.0,75000.0,75000.0,75000.0,1399750.0,1399750.0,1399750.0,0.0,,1,brand_model,median,kaggle=1,0,1,True,True,CRITICAL,1,"1 gercek egitim kaydi (ham: 1). hierarchical_price destegi dusuk (n=1); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir). azaltici: cok eski model (max_year=1994), piyasada nadir - dusuk oncelik.",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 2 idi)",1994-1994,"75,000-75,000","1,399,750-1,399,750"
Maxus,e-Deliver,1,1,1,2025.0,2025.0,13000.0,13000.0,13000.0,1189900.0,1189900.0,1189900.0,0.0,,1,brand_model,median,arabam=1,1,0,True,True,CRITICAL,3,1 gercek egitim kaydi (ham: 1). hierarchical_price destegi dusuk (n=1); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir).,False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 6 idi)",2025-2025,"13,000-13,000","1,189,900-1,189,900"
Mazda,929,1,1,1,1991.0,1991.0,245000.0,245000.0,245000.0,190000.0,190000.0,190000.0,0.0,,1,brand_model,median,kaggle=1,0,1,True,True,CRITICAL,1,"1 gercek egitim kaydi (ham: 1). hierarchical_price destegi dusuk (n=1); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir). azaltici: cok eski model (max_year=1991), piyasada nadir - dusuk oncelik; dusuk fiyat etkisi (medyan 190,000 <= p25 esigi 320,000).",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 2 idi)",1991-1991,"245,000-245,000","190,000-190,000"
Mazda,B2200,1,1,1,1993.0,1993.0,200000.0,200000.0,200000.0,270000.0,270000.0,270000.0,0.0,,1,brand_model,median,arabam=1,1,0,True,True,CRITICAL,1,"1 gercek egitim kaydi (ham: 1). hierarchical_price destegi dusuk (n=1); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir). azaltici: cok eski model (max_year=1993), piyasada nadir - dusuk oncelik; dusuk fiyat etkisi (medyan 270,000 <= p25 esigi 320,000).",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 2 idi)",1993-1993,"200,000-200,000","270,000-270,000"
McLaren,GT,1,1,1,2020.0,2020.0,38000.0,38000.0,38000.0,40000000.0,40000000.0,40000000.0,0.0,,1,brand_model,median,arabam=1,1,0,True,True,CRITICAL,3,"1 gercek egitim kaydi (ham: 1). premium fiyat segmenti (medyan 40,000,000 >= p90 esigi 3,375,000); hierarchical_price destegi dusuk (n=1); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir).",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 6 idi)",2020-2020,"38,000-38,000","40,000,000-40,000,000"
Mercedes - Benz,320,1,1,1,1993.0,1993.0,100000.0,100000.0,100000.0,2100000.0,2100000.0,2100000.0,0.0,,1,brand_model,median,kaggle=1,0,1,True,True,CRITICAL,1,"1 gercek egitim kaydi (ham: 1). hierarchical_price destegi dusuk (n=1); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir). azaltici: cok eski model (max_year=1993), piyasada nadir - dusuk oncelik.",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 2 idi)",1993-1993,"100,000-100,000","2,100,000-2,100,000"
Mercury,Cougar,2,1,1,1999.0,1999.0,135000.0,135000.0,135000.0,1000000.0,1000000.0,1000000.0,0.0,,1,brand_model,median,kaggle=2,0,2,True,True,CRITICAL,1,"1 gercek egitim kaydi (ham: 2). hierarchical_price destegi dusuk (n=1); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir). azaltici: cok eski model (max_year=1999), piyasada nadir - dusuk oncelik.",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 2 idi)",1999-1999,"135,000-135,000","1,000,000-1,000,000"
Mercury,Grand Marquis,1,1,1,1990.0,1990.0,123000.0,123000.0,123000.0,2500000.0,2500000.0,2500000.0,0.0,,1,brand_model,median,arabam=1,1,0,True,True,CRITICAL,1,"1 gercek egitim kaydi (ham: 1). hierarchical_price destegi dusuk (n=1); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir). azaltici: cok eski model (max_year=1990), piyasada nadir - dusuk oncelik.",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 2 idi)",1990-1990,"123,000-123,000","2,500,000-2,500,000"
